,Name,Pos.,Height,From,To,Seasons
4,Clint Capela,C,2.08/ 6'10'',2014,2021,7
5,Vernon Carey Jr.,C,2.08/ 6'10'',2020,2021,1
6,Jevon Carter,PG/SG,1.85/ 6'1'',2018,2021,3
7,Wendell Carter Jr.,C,2.06/ 6'9'',2018,2021,3
8,Michael Carter-Williams,PG/SG,1.96/ 6'5'',2013,2021,8
9,Alex Caruso,SG/PG,1.96/ 6'5'',2017,2021,4
10,Willie Cauley-Stein,C,2.13/ 7'0'',2015,2021,6
12,Zylan Cheatham,PF,1.96/ 6'5'',2019,2020,1
13,Chris Chiozza,PG,1.80/ 5'11'',2018,2021,3
14,Marquese Chriss,C/PF,2.06/ 6'9'',2016,2021,5
16,Brandon Clarke,C/PF,2.03/ 6'8'',2019,2021,2
17,Jordan Clarkson,SG/PG,1.93/ 6'4'',2014,2021,7
18,Nicolas Claxton,C/PF,2.11/ 6'11'',2019,2021,2
19,Amir Coffey,SF/SG,2.01/ 6'7'',2019,2021,2
20,John Collins,PF/C,2.06/ 6'9'',2017,2021,4
21,Zach Collins,C/PF,2.11/ 6'11'',2017,2020,3
22,Mike Conley,PG,1.85/ 6'1'',2007,2021,14
23,Pat Connaughton,SF/SG,1.96/ 6'5'',2015,2021,6
24,Quinn Cook,PG,1.88/ 6'2'',2016,2021,5
25,Tyler Cook,PF/C,2.03/ 6'8'',2019,2021,2
28,Robert Covington,PF/SF,2.01/ 6'7'',2013,2021,8
29,Torrey Craig,SF,2.01/ 6'7'',2017,2021,4
30,Jae Crowder,PF/SF,1.98/ 6'6'',2012,2021,9
31,Jarrett Culver,SF/SG,1.98/ 6'6'',2019,2021,2
33,Seth Curry,SG/PG,1.88/ 6'2'',2013,2021,7
34,Stephen Curry,PG,1.91/ 6'3'',2009,2021,12
0,Anthony Davis,PF/C,2.08/ 6'10'',2012,2021,9
1,Terence Davis,SF/SG,1.93/ 6'4'',2019,2021,2
2,Gabriel Deck,SF/PF,1.99/ 6'6'',2020,2021,1
3,Dewayne Dedmon,C,2.13/ 7'0'',2013,2021,8
4,Sam Dekker,PF,2.06/ 6'9'',2015,2019,4
5,DeMar DeRozan,SF/SG,1.98/ 6'6'',2009,2021,12
6,Hamidou Diallo,SG/SF,1.96/ 6'5'',2018,2021,3
7,Gorgui Dieng,C,2.08/ 6'10'',2013,2021,8
8,Spencer Dinwiddie,PG/SG,1.96/ 6'5'',2014,2021,7
9,Donte DiVincenzo,SG/PG,1.93/ 6'4'',2018,2021,3
10,Luka Doncic,PG/SG,2.01/ 6'7'',2018,2021,3
11,Luguentz Dort,SG/SF,1.91/ 6'3'',2019,2021,2
13,Devon Dotson,PG,1.88/ 6'2'',2020,2021,1
14,Sekou Doumbouya,SF/PF,2.03/ 6'8'',2019,2021,2
15,P.J. Dozier,SF/SG,1.98/ 6'6'',2017,2021,4
16,Goran Dragic,PG,1.91/ 6'3'',2008,2021,13
17,Andre Drummond,C,2.08/ 6'10'',2012,2021,9
19,Kris Dunn,PG/SG,1.91/ 6'3'',2016,2021,5
20,Kevin Durant,PF/SF,2.08/ 6'10'',2007,2021,13
0,Anthony Edwards,SG/SF,1.98/ 6'6'',2020,2021,1
2,C.J. Elleby,SG/SF,1.98/ 6'6'',2020,2021,1
3,Wayne Ellington,SG,1.93/ 6'4'',2009,2021,12
4,Joel Embiid,C,2.13/ 7'0'',2016,2021,5
5,Drew Eubanks,C,2.06/ 6'9'',2018,2021,3
6,Dante Exum,PG/SG,1.96/ 6'5'',2014,2021,6
0,Tacko Fall,C,2.26/ 7'5'',2019,2021,2
1,Derrick Favors,C/PF,2.06/ 6'9'',2010,2021,11
2,Bruno Fernando,C,2.06/ 6'9'',2019,2021,2
3,Dorian Finney-Smith,SF/PF,2.01/ 6'7'',2016,2021,5
4,Malachi Flynn,PG/SG,1.85/ 6'1'',2020,2021,1
5,Bryn Forbes,SG/PG,1.88/ 6'2'',2016,2021,5
6,Trent Forrest,SG,1.93/ 6'4'',2020,2021,1
7,Evan Fournier,SG/SF,2.01/ 6'7'',2012,2021,9
8,De'Aaron Fox,PG,1.91/ 6'3'',2017,2021,4
9,Markelle Fultz,PG/SG,1.91/ 6'3'',2017,2021,4
0,Wenyen Gabriel,PF/SF,2.06/ 6'9'',2019,2021,2
1,Daniel Gafford,C,2.08/ 6'10'',2019,2021,2
2,Danilo Gallinari,PF/SF,2.08/ 6'10'',2008,2021,12
3,Langston Galloway,SG/PG,1.85/ 6'1'',2014,2021,7
4,Darius Garland,PG,1.85/ 6'1'',2019,2021,2
8,Rudy Gay,PF/SF,2.03/ 6'8'',2006,2021,15
9,Paul George,SG/SF,2.03/ 6'8'',2010,2021,11
10,Taj Gibson,C/PF,2.06/ 6'9'',2009,2021,12
12,Harry Giles,C/PF,2.11/ 6'11'',2018,2021,3
13,Shai Gilgeous-Alexander,PG/SG,1.96/ 6'5'',2018,2021,3
14,Anthony Gill,PF,2.03/ 6'8'',2020,2021,1
15,Freddie Gillespie,C/PF,2.06/ 6'9'',2020,2021,1
16,Rudy Gobert,C,2.16/ 7'1'',2013,2021,8
17,Aaron Gordon,PF/SF,2.03/ 6'8'',2014,2021,7
18,Eric Gordon,SG/PG,1.91/ 6'3'',2008,2021,13
19,Devonte' Graham,PG,1.85/ 6'1'',2018,2021,3
20,Jerami Grant,PF/SF,2.03/ 6'8'',2014,2021,7
21,Danny Green,SF,1.98/ 6'6'',2009,2021,12
22,Draymond Green,PF/C,1.98/ 6'6'',2012,2021,9
24,JaMychal Green,PF/C,2.03/ 6'8'',2014,2021,7
25,Javonte Green,SG/SF,1.93/ 6'4'',2019,2021,2
26,Jeff Green,PF,2.03/ 6'8'',2007,2021,13
27,Josh Green,SF/PF,1.98/ 6'6'',2020,2021,1
28,Blake Griffin,PF/C,2.06/ 6'9'',2010,2021,11
0,Rui Hachimura,PF/C,2.03/ 6'8'',2019,2021,2
1,Tyrese Haliburton,SG/PG,1.96/ 6'5'',2020,2021,1
2,R.J. Hampton,SG/PG,1.98/ 6'6'',2020,2021,1
3,Tim Hardaway Jr.,SG/SF,1.96/ 6'5'',2013,2021,8
4,James Harden,PG/SG,1.96/ 6'5'',2009,2021,12
5,Moe Harkless,PF/SF,2.01/ 6'7'',2012,2021,9
6,Jared Harper,PG,1.78/ 5'10'',2019,2021,2
7,Montrezl Harrell,C/PF,2.01/ 6'7'',2015,2021,6
8,Gary Harris,SG/SF,1.93/ 6'4'',2014,2021,7
9,Joe Harris,SF/SG,1.98/ 6'6'',2014,2021,7
10,Tobias Harris,PF/SF,2.02/ 6'8'',2011,2021,10
11,Josh Hart,SF/SG,1.96/ 6'5'',2017,2021,4
12,Isaiah Hartenstein,C,2.13/ 7'0'',2018,2021,3
13,Udonis Haslem,C,2.03/ 6'8'',2003,2021,18
15,Jaxson Hayes,C,2.11/ 6'11'',2019,2021,2
16,Killian Hayes,PG,1.96/ 6'5'',2020,2021,1
17,Gordon Hayward,SF/PF,2.01/ 6'7'',2010,2021,11
19,Juancho Hernangómez,PF/SF,2.06/ 6'9'',2016,2021,5
20,Willy Hernangómez,C,2.11/ 6'11'',2016,2021,5
21,Tyler Herro,PG/SG,1.96/ 6'5'',2019,2021,2
22,Buddy Hield,SG/SF,1.93/ 6'4'',2016,2021,5
23,Haywood Highsmith,SF/PF,2.01/ 6'7'',2018,2019,1
24,George Hill,PG/SG,1.91/ 6'3'',2008,2021,13
25,Solomon Hill,PF/SF,1.98/ 6'6'',2013,2021,8
26,Nate Hinton,SG/SF,1.96/ 6'5'',2020,2021,1
27,Aaron Holiday,PG,1.83/ 6'0'',2018,2021,3
28,Jrue Holiday,PG/SG,1.91/ 6'3'',2009,2021,12
29,Justin Holiday,SF/SG,1.98/ 6'6'',2012,2021,8
30,Richaun Holmes,C,2.08/ 6'10'',2015,2021,6
32,Rodney Hood,SF/SG,2.03/ 6'8'',2014,2021,7
33,Al Horford,C/PF,2.06/ 6'9'',2007,2021,14
34,Talen Horton-Tucker,SG/SF,1.93/ 6'4'',2019,2021,2
35,Danuel House,SF/PF,1.98/ 6'6'',2016,2021,5
36,Dwight Howard,C,2.11/ 6'11'',2004,2021,17
37,Markus Howard,PG,1.80/ 5'11'',2020,2021,1
38,Kevin Huerter,SF/SG,2.01/ 6'7'',2018,2021,3
39,Elijah Hughes,SF,1.98/ 6'6'',2020,2021,1
40,De'Andre Hunter,SF/PF,2.01/ 6'7'',2019,2021,2
42,Chandler Hutchison,SF/PF,2.01/ 6'7'',2018,2021,3
0,Serge Ibaka,C,2.13/ 7'0'',2009,2021,12
1,Andre Iguodala,SF/PF,1.98/ 6'6'',2004,2021,17
2,Joe Ingles,SF/SG,2.01/ 6'7'',2014,2021,7
3,Brandon Ingram,SF/PF,2.01/ 6'7'',2016,2021,5
4,Kyrie Irving,SG/PG,1.88/ 6'2'',2011,2021,10
5,Jonathan Isaac,SF/PF,2.11/ 6'11'',2017,2020,3
6,Wesley Iwundu,SF,2.01/ 6'7'',2017,2021,4
0,Frank Jackson,SG/PG,1.91/ 6'3'',2018,2021,3
2,Josh Jackson,SF/PF,2.03/ 6'8'',2017,2021,4
3,Reggie Jackson,PG/SG,1.91/ 6'3'',2011,2021,10
4,Jaren Jackson Jr.,PF/C,2.11/ 6'11'',2018,2021,3
5,Justin James,SF/SG,2.01/ 6'7'',2019,2021,2
6,LeBron James,SF/PF,2.03/ 6'8'',2003,2021,18
8,Ty Jerome,PG/SG,1.96/ 6'5'',2019,2021,2
9,Isaiah Joe,SG,1.96/ 6'5'',2020,2021,1
10,Alize Johnson,SF/PF,2.01/ 6'7'',2018,2021,3
11,Cameron Johnson,PF/SF,2.03/ 6'8'',2019,2021,2
14,James Johnson,PF,2.01/ 6'7'',2009,2021,12
15,Keldon Johnson,PF/SF,1.96/ 6'5'',2019,2021,2
17,Stanley Johnson,PF,1.98/ 6'6'',2015,2021,6
18,Nikola Jokic,C,2.13/ 7'0'',2015,2021,6
19,Damian Jones,C,2.11/ 6'11'',2016,2021,5
22,Tre Jones,PG,1.91/ 6'3'',2020,2021,1
23,Tyus Jones,PG,1.83/ 6'0'',2015,2021,6
24,Derrick Jones Jr.,SF/PF,1.98/ 6'6'',2016,2021,5
25,DeAndre Jordan,C,2.11/ 6'11'',2008,2021,13
26,Cory Joseph,PG/SG,1.91/ 6'3'',2011,2021,10
0,Mfiondu Kabengele,C/PF,2.06/ 6'9'',2019,2021,2
2,Frank Kaminsky,C/PF,2.13/ 7'0'',2015,2021,6
3,Enes Kanter,C,2.08/ 6'10'',2011,2021,10
4,Luke Kennard,SF/SG,1.96/ 6'5'',2017,2021,4
5,Louis King,SF,2.01/ 6'7'',2019,2021,2
7,Maxi Kleber,PF/C,2.07/ 6'9'',2017,2021,4
8,Nathan Knight,C/PF,2.08/ 6'10'',2020,2021,1
9,Kevin Knox,PF/SF,2.01/ 6'7'',2018,2021,3
10,John Konchar,SF/SG,1.96/ 6'5'',2019,2021,2
11,Furkan Korkmaz,SG/SF,2.01/ 6'7'',2017,2021,4
15,Kyle Kuzma,SF/PF,2.06/ 6'9'',2017,2021,4
0,Anthony Lamb,SF/PF,1.98/ 6'6'',2020,2021,1
1,Jeremy Lamb,SG/SF,1.96/ 6'5'',2012,2021,9
3,Romeo Langford,SG/SF,1.93/ 6'4'',2019,2021,2
4,Zach LaVine,SG,1.98/ 6'6'',2014,2021,7
5,Jake Layman,SF/PF,2.03/ 6'8'',2016,2021,5
6,Damion Lee,SG/SF,1.96/ 6'5'',2017,2021,4
7,Saben Lee,PG,1.88/ 6'2'',2020,2021,1
8,Alex Len,C,2.13/ 7'0'',2013,2021,8
9,Kawhi Leonard,SF,2.01/ 6'7'',2011,2021,10
10,Caris LeVert,SG,1.98/ 6'6'',2016,2021,5
12,Kira Lewis Jr.,SG/PG,1.91/ 6'3'',2020,2021,1
13,Damian Lillard,PG,1.88/ 6'2'',2012,2021,9
14,Nassir Little,SF/PF,1.96/ 6'5'',2019,2021,2
16,Kevon Looney,C,2.06/ 6'9'',2015,2021,6
17,Brook Lopez,C,2.13/ 7'0'',2008,2021,13
18,Robin Lopez,C,2.13/ 7'0'',2008,2021,13
19,Didi Louzada,SG,1.95/ 6'5'',2020,2021,1
20,Kevin Love,PF/C,2.03/ 6'8'',2008,2021,13
21,Kyle Lowry,PG,1.83/ 6'0'',2006,2021,15
22,Timothe Luwawu,SF/PF,2.01/ 6'7'',2016,2021,5
23,Trey Lyles,PF/C,2.06/ 6'9'',2015,2021,6
0,Théo Maledon,PG,1.91/ 6'3'',2020,2021,1
2,Terance Mann,SG/SF,1.96/ 6'5'',2019,2021,2
4,Boban Marjanovic,C,2.23/ 7'4'',2015,2021,6
5,Lauri Markkanen,PF/C,2.13/ 7'0'',2017,2021,4
6,Naji Marshall,PF/SF,2.01/ 6'7'',2020,2021,1
7,Caleb Martin,SF/SG,1.96/ 6'5'',2019,2021,2
8,Cody Martin,SG/SF,1.96/ 6'5'',2019,2021,2
9,Kelan Martin,PF/SF,1.96/ 6'5'',2019,2021,2
10,K.J. Martin Jr.,PF/SF,2.01/ 6'7'',2020,2021,1
11,Garrison Mathews,SF/SG,1.96/ 6'5'',2019,2021,2
12,Tyrese Maxey,PG/SG,1.91/ 6'3'',2020,2021,1
13,Skylar Mays,SG/PG,1.93/ 6'4'',2020,2021,1
15,C.J. McCollum,SG/PG,1.91/ 6'3'',2013,2021,8
16,T.J. McConnell,PG,1.85/ 6'1'',2015,2021,6
17,Jaden McDaniels,PF/SF,2.08/ 6'10'',2020,2021,1
18,Jalen McDaniels,PF/SF,2.06/ 6'9'',2019,2021,2
19,Doug McDermott,SF/PF,2.01/ 6'7'',2014,2021,7
20,Sean McDermott,SG/SF,1.98/ 6'6'',2020,2021,1
21,JaVale McGee,C,2.13/ 7'0'',2008,2021,13
22,Rodney McGruder,SG/SF,1.93/ 6'4'',2016,2021,5
24,Jordan McLaughlin,PG,1.80/ 5'11'',2019,2021,2
25,Ben McLemore,SG/SF,1.91/ 6'3'',2013,2021,8
26,De'Anthony Melton,PG/SG,1.88/ 6'2'',2018,2021,3
27,Sam Merrill,SG,1.96/ 6'5'',2020,2021,1
28,Chimezie Metu,PF/C,2.06/ 6'9'',2018,2021,3
29,Khris Middleton,SF/SG,2.01/ 6'7'',2012,2021,9
30,Patty Mills,PG/SG,1.85/ 6'1'',2009,2021,12
31,Paul Millsap,PF/C,2.01/ 6'7'',2006,2021,15
32,Shake Milton,PG/SG,1.96/ 6'5'',2018,2021,3
34,Donovan Mitchell,SG/PG,1.85/ 6'1'',2017,2021,4
36,Malik Monk,SG,1.91/ 6'3'',2017,2021,4
38,E'Twaun Moore,SG/PG,1.91/ 6'3'',2011,2021,10
39,Ja Morant,PG,1.91/ 6'3'',2019,2021,2
40,Juwan Morgan,PF,2.03/ 6'8'',2019,2021,2
41,Marcus Morris,PF/SF,2.03/ 6'8'',2011,2021,10
42,Markieff Morris,PF/C,2.03/ 6'8'',2011,2021,10
43,Monte Morris,PG/SG,1.88/ 6'2'',2017,2021,4
44,Mychal Mulder,PG/SG,1.93/ 6'4'',2019,2021,2
46,Dejounte Murray,PG/SG,1.93/ 6'4'',2016,2021,4
47,Jamal Murray,PG/SG,1.93/ 6'4'',2016,2021,5
48,Mike Muscala,C,2.08/ 6'10'',2013,2021,8
49,Svi Mykhailiuk,SG/SF,2.01/ 6'7'',2018,2021,3
0,Abdel Nader,SF/PF,1.96/ 6'5'',2017,2021,4
1,"Larry Nance, Jr.",PF,2.01/ 6'7'',2015,2021,6
2,Aaron Nesmith,SF,1.98/ 6'6'',2020,2021,1
3,Raul Neto,PG/SG,1.85/ 6'1'',2015,2021,6
4,Georges Niang,PF/SF,2.01/ 6'7'',2016,2021,5
5,Zeke Nnaji,C/PF,2.11/ 6'11'',2020,2021,1
6,Nerlens Noel,C,2.08/ 6'10'',2014,2021,7
7,Jaylen Nowell,SG/PG,1.93/ 6'4'',2019,2021,2
8,Frank Ntilikina,SG/PG,1.93/ 6'4'',2017,2021,4
9,Kendrick Nunn,PG/SG,1.88/ 6'2'',2019,2021,2
10,Jusuf Nurkic,C,2.13/ 7'0'',2014,2021,7
11,David Nwaba,SF/SG,1.96/ 6'5'',2016,2021,5
12,Jordan Nwora,SF/PF,2.01/ 6'7'',2020,2021,1
0,Semi Ojeleye,PF/SF,1.98/ 6'6'',2017,2021,4
1,Jahlil Okafor,C,2.08/ 6'10'',2015,2021,6
2,Chuma Okeke,PF/SF,2.03/ 6'8'',2020,2021,1
3,Josh Okogie,SF/SG,1.93/ 6'4'',2018,2021,3
4,Onyeka Okongwu,C,2.06/ 6'9'',2020,2021,1
5,Isaac Okoro,SF/SG,1.98/ 6'6'',2020,2021,1
6,KZ Okpala,SF/PF,2.03/ 6'8'',2019,2021,2
7,Victor Oladipo,SG/PG,1.93/ 6'4'',2013,2021,8
8,Cameron Oliver,PF,2.03/ 6'8'',2020,2021,1
9,Kelly Olynyk,C/PF,2.11/ 6'11'',2013,2021,8
11,Royce O'Neale,PF/SF,1.93/ 6'4'',2017,2021,4
12,Miye Oni,SF/SG,1.96/ 6'5'',2019,2021,2
13,Cedi Osman,SF,2.01/ 6'7'',2017,2021,4
14,Kelly Oubre,SF/SG,2.01/ 6'7'',2015,2021,6
1,Jabari Parker,PF,2.03/ 6'8'',2014,2021,7
2,Eric Paschall,C/PF,1.98/ 6'6'',2019,2021,2
3,Patrick Patterson,PF/C,2.03/ 6'8'',2010,2021,11
4,Chris Paul,PG,1.85/ 6'1'',2005,2021,16
5,Cameron Payne,PG,1.91/ 6'3'',2015,2021,6
6,Elfrid Payton,PG,1.91/ 6'3'',2014,2021,7
7,Gary Payton II,SG/PG,1.91/ 6'3'',2016,2021,5
8,Reggie Perry,PF/C,2.06/ 6'9'',2020,2021,1
10,Theo Pinson,SG/SF,1.96/ 6'5'',2018,2021,3
11,Mason Plumlee,C,2.11/ 6'11'',2013,2021,8
12,Jakob Poeltl,C,2.16/ 7'1'',2016,2021,5
13,Aleksej Pokusevski,SF/PF,2.13/ 7'0'',2020,2021,1
15,Jordan Poole,PG/SG,1.93/ 6'4'',2019,2021,2
16,Otto Porter,SF/PF,2.03/ 6'8'',2013,2021,8
17,Kevin Porter Jr.,SG/PG,1.93/ 6'4'',2019,2021,2
18,Michael Porter Jr.,SF/PF,2.08/ 6'10'',2019,2021,2
19,Bobby Portis,PF/C,2.08/ 6'10'',2015,2021,6
20,Kristaps Porzingis,PF/C,2.21/ 7'3'',2015,2021,5
21,Dwight Powell,C,2.08/ 6'10'',2014,2021,7
22,Norman Powell,SF/SG,1.91/ 6'3'',2015,2021,6
25,Taurean Prince,PF/SF,2.01/ 6'7'',2016,2021,5
26,Payton Pritchard,PG,1.88/ 6'2'',2020,2021,1
1,Immanuel Quickley,PG/SG,1.91/ 6'3'',2020,2021,1
0,Jahmi'us Ramsey,SG/PG,1.93/ 6'4'',2020,2021,1
1,Chasson Randle,PG,1.91/ 6'3'',2016,2021,4
2,Julius Randle,PF,2.03/ 6'8'',2014,2021,7
4,Cam Reddish,SF/SG,2.03/ 6'8'',2019,2021,2
5,Davon Reed,SF/SG,1.98/ 6'6'',2017,2019,2
6,Paul Reed,PF,2.06/ 6'9'',2020,2021,1
7,Naz Reid,C/PF,2.06/ 6'9'',2019,2021,2
8,Nick Richards,C,2.11/ 6'11'',2020,2021,1
9,Josh Richardson,SG/SF,1.96/ 6'5'',2015,2021,6
10,Grant Riller,PG/SG,1.91/ 6'3'',2020,2021,1
11,Austin Rivers,SG/PG,1.91/ 6'3'',2012,2021,9
12,Duncan Robinson,SG/SF,2.01/ 6'7'',2018,2021,3
13,Justin Robinson,PG/SG,1.85/ 6'1'',2019,2021,2
14,Mitchell Robinson,C,2.13/ 7'0'',2018,2021,3
16,Isaiah Roby,C/PF,2.03/ 6'8'',2019,2021,2
17,Rajon Rondo,PG,1.85/ 6'1'',2006,2021,15
18,Derrick Rose,SG/PG,1.88/ 6'2'',2008,2021,12
19,Terrence Ross,SF/SG,1.98/ 6'6'',2012,2021,9
20,Terry Rozier,SG/PG,1.85/ 6'1'',2015,2021,6
21,Ricky Rubio,PG,1.91/ 6'3'',2011,2021,10
22,D'Angelo Russell,PG/SG,1.93/ 6'4'',2015,2021,6
0,Domantas Sabonis,PF/C,2.11/ 6'11'',2016,2021,5
1,Luka Samanic,PF,2.08/ 6'10'',2019,2021,2
2,Dario Saric,C/PF,2.08/ 6'10'',2016,2021,5
3,Tomas Satoransky,PG/SG,2.01/ 6'7'',2016,2021,5
4,Admiral Schofield,SF/PF,1.96/ 6'5'',2019,2020,1
5,Dennis Schröder,PG/SG,1.85/ 6'1'',2013,2021,8
6,Jay Scrubb,SF/SG,1.98/ 6'6'',2020,2021,1
7,Wayne Selden,SF/SG,1.93/ 6'4'',2016,2019,3
9,Collin Sexton,SG/PG,1.85/ 6'1'',2018,2021,3
10,Landry Shamet,SG/SF,1.93/ 6'4'',2018,2021,3
12,Pascal Siakam,PF,2.06/ 6'9'',2016,2021,5
13,Chris Silva,C/PF,2.03/ 6'8'',2019,2021,2
14,Ben Simmons,PG,2.07/ 6'9'',2017,2021,4
16,Anfernee Simons,PG/SG,1.91/ 6'3'',2018,2021,3
18,Marcus Smart,SG/PG,1.91/ 6'3'',2014,2021,7
20,Ish Smith,PG,1.83/ 6'0'',2010,2021,11
21,Jalen Smith,PF/C,2.08/ 6'10'',2020,2021,1
22,Dennis Smith Jr.,PG,1.88/ 6'2'',2017,2021,4
23,Tony Snell,SF/SG,1.98/ 6'6'',2013,2021,8
25,Lamar Stevens,SF,2.03/ 6'8'',2020,2021,1
26,Isaiah Stewart,C,2.06/ 6'9'',2020,2021,1
27,Max Strus,SG/SF,1.98/ 6'6'',2019,2021,2
29,Edmond Sumner,SF/SG,1.93/ 6'4'',2017,2021,4
0,Jae'Sean Tate,SF/PF,1.93/ 6'4'',2020,2021,1
1,Jayson Tatum,PF/SF,2.03/ 6'8'',2017,2021,4
2,Garrett Temple,SG/SF,1.96/ 6'5'',2009,2021,11
3,Emanuel Terry,PF/C,2.06/ 6'9'',2018,2019,1
4,Tyrell Terry,PG,1.91/ 6'3'',2020,2021,1
5,Daniel Theis,PF/C,2.03/ 6'8'',2017,2021,4
